Cod_Estab,measure_L,measure_M
01-14-1896-43,0.766,0.645
01-14-8760-43,0.948,0.79
01-14-8760-43,1.746,1.081
01-14-1896-43,0.534,0.177
01-14-8760-43,1.454,0.907
01-14-1904-43,1.746,0.12
01-14-1896-43,-0.335,-0.581
01-14-1904-43,-0.911,-1.303
01-14-8760-43,1.262,1.179
01-14-8760-43,1.454,1.307
01-14-1904-43,0.075,0.265
01-14-1904-43,-0.042,0.394
01-14-1904-43,0.715,-0.581
01-14-8760-43,0.075,0.254
01-14-1904-43,-0.545,0.128
03-01-0248-43,1.908,-0.012
03-01-0248-43,2.085,-0.154
03-01-0043-43,0.488,0.385
03-01-0043-43,0.191,0.385
03-01-0043-43,2.735,0.921
03-01-0248-43,1.191,1.342
03-01-0037-43,1.398,0.645
03-01-0248-43,1.007,-0.007
03-01-0043-43,2.085,1.057
03-01-0248-43,1.694,-0.138
03-01-0043-43,0.031,-0.912
03-01-0037-43,0.534,0.261
03-01-0248-43,2.085,-0.847
03-01-0248-43,-0.042,-0.286
03-01-0043-43,1.859,1.057
03-01-0037-43,1.191,0.396
03-01-0037-43,1.007,0.265
03-01-0037-43,1.746,0.305
03-01-0043-43,-0.467,0.433
03-01-0037-43,1.191,0.505
03-01-0248-43,2.085,0.633
03-01-0043-43,1.694,0.657
03-01-0037-43,-0.042,0.633
03-01-0037-43,1.908,0.893
03-01-0248-43,1.398,0.656
03-01-0043-43,2.466,0.385
03-01-0037-43,0.534,0.249
03-01-0037-43,0.488,-0.59
03-01-0037-43,2.466,2.454
03-01-0043-43,1.132,0.893
03-01-0043-43,-0.209,-0.279
03-01-0043-43,2.466,1.456
03-01-0248-43,0.885,0.046
03-01-0037-43,0.601,0.893
03-01-0043-43,1.859,-0.007
03-01-0037-43,1.859,0.907
03-01-0043-43,0.601,0.394
03-01-0037-43,0.83,1.494
03-01-0037-43,2.238,1.057
03-01-0043-43,1.191,0.177
03-01-0043-43,2.038,0.816
03-01-0248-43,2.038,0.763
03-01-0043-43,1.859,-0.581
03-01-0037-43,0.649,0.128
03-01-0248-43,1.694,0.305
03-01-0043-43,0.601,-0.286
03-01-0043-43,1.32,0.787
03-01-0043-43,0.715,0.515
03-01-0037-43,2.085,0.0
03-01-0248-43,1.32,-0.088
03-01-0248-43,0.885,0.385
03-01-0248-43,1.191,0.525
03-01-0037-43,2.735,1.503
03-01-0248-43,1.068,0.515
03-01-0037-43,0.601,0.925
03-01-0248-43,0.305,-0.928
03-01-0043-43,1.859,0.134
03-01-0043-43,-0.087,0.128
03-01-0043-43,0.766,0.385
03-01-0248-43,2.238,0.515
03-01-0248-43,0.715,-0.43
03-01-0037-43,3.068,1.081
03-01-0037-43,1.454,-0.014
03-01-0248-43,2.038,0.128
03-01-0043-43,-0.162,1.204
03-01-0037-43,4.291,1.797
03-01-0248-43,0.766,0.177
03-01-0037-43,1.191,0.046
03-01-0248-43,0.488,0.265
03-01-0037-43,1.262,0.816
03-01-0037-43,1.454,1.057
03-01-0037-43,2.238,-0.154
03-01-0043-43,0.601,0.378
03-01-0043-43,3.068,0.046
03-01-0043-43,1.132,1.361
03-01-0043-43,-0.285,0.396
03-01-0043-43,1.191,0.394
03-01-0043-43,1.454,0.56
03-01-0248-43,1.191,0.261
03-01-0043-43,0.83,-1.685
03-01-0043-43,1.454,0.122
22-05-2502-43,2.509,2.228
22-05-0279-43,0.649,0.265
22-05-2502-43,0.375,-0.279
22-05-2502-43,0.534,0.254
22-05-2502-43,-1.579,-0.43
22-05-2502-43,1.908,1.613
22-05-2502-43,2.038,1.179
22-05-0273-43,0.948,0.046
22-05-0273-43,-0.412,0.305
22-05-0273-43,0.885,0.265
22-05-0273-43,0.766,-1.737
22-05-0273-43,2.283,0.645
22-05-0279-43,0.534,0.56
22-05-2502-43,2.038,1.503
22-05-2502-43,0.147,0.046
22-05-2502-43,1.068,0.645
22-05-2502-43,0.948,1.027
22-05-2502-43,1.542,1.836
22-05-0279-43,-0.832,-1.41
22-05-0273-43,-0.467,-2.601
22-05-0273-43,0.375,-0.58
22-05-0279-43,-0.335,-0.45
22-05-0273-43,0.885,-0.012
22-05-2502-43,-0.991,-0.743
22-05-0279-43,-0.467,-0.58
22-05-0279-43,0.488,-0.279
22-05-0273-43,1.398,-0.007
22-05-2502-43,1.262,0.645
22-05-2502-43,0.147,-0.226
22-05-0279-43,-0.545,-4.465
22-05-0273-43,1.262,0.645
22-05-2502-43,2.466,0.921
22-05-0273-43,-0.042,-0.299
22-05-0279-43,0.375,0.261
22-05-0279-43,0.715,0.56
22-05-0273-43,0.601,-0.279
22-05-0279-43,1.908,0.893
22-05-0279-43,-0.162,0.305
22-05-0273-43,0.488,-0.436
22-05-2502-43,1.132,0.378
22-05-2502-43,1.746,0.046
22-05-0279-43,0.031,1.027
22-05-0273-43,-0.911,0.525
22-05-0279-43,0.83,0.79
22-05-0279-43,0.191,0.505
22-05-0279-43,0.075,-0.007
22-05-2502-43,1.068,1.503
22-05-2502-43,2.466,2.02
22-05-0273-43,0.031,-0.286
22-05-2502-43,1.454,1.057
22-07-0343-43,0.83,-0.138
22-07-0331-43,-0.412,-0.226
22-07-0343-43,0.262,-0.286
22-07-0343-43,-0.209,0.505
22-07-0343-43,1.132,0.505
22-07-0343-43,2.466,1.057
22-07-0333-43,1.595,1.456
22-07-0343-43,0.885,-0.288
22-07-0333-43,1.132,0.128
22-07-0331-43,-0.042,0.128
22-07-0343-43,0.262,0.128
22-07-0333-43,0.488,-1.176
22-07-0343-43,0.375,-0.581
22-07-0343-43,1.908,1.057
22-07-0343-43,2.038,0.907
22-07-0343-43,0.075,-0.754
22-07-0343-43,-0.042,-1.41
22-07-0343-43,1.746,-0.299
22-07-0331-43,0.488,0.947
22-07-0343-43,1.542,0.265
22-07-0331-43,0.488,0.656
22-07-0331-43,1.191,0.645
22-07-0331-43,0.191,0.907
22-07-0333-43,1.007,0.265
22-07-0343-43,0.305,-1.235
22-07-0343-43,0.83,0.177
22-07-0331-43,0.948,-0.007
22-07-0331-43,-0.087,-0.581
22-07-0331-43,-0.042,0.921
22-07-0343-43,1.398,0.56
22-07-0343-43,1.595,0.515
12-17-0782-43,1.132,0.385
12-17-0787-43,-0.605,-0.43
12-17-0787-43,0.534,-0.088
12-17-0787-43,0.601,0.265
12-17-0782-43,0.649,-0.369
12-17-0787-43,0.305,0.122
12-17-0782-43,-0.209,-1.325
12-17-0004-43,0.601,-0.147
12-17-0782-43,-0.042,-0.288
12-17-0787-43,1.068,0.525
12-17-0004-43,0.262,0.645
12-17-0787-43,0.262,-1.466
12-17-0004-43,0.262,-0.288
12-17-0787-43,1.32,0.122
12-17-0787-43,-0.087,-0.369
12-17-0782-43,1.068,-0.847
12-17-0787-43,0.649,-0.007
12-17-0004-43,0.075,-0.226
12-17-0787-43,-0.285,-3.376
12-17-0782-43,0.715,-0.918
12-17-0782-43,0.948,-0.014
12-17-0787-43,0.191,-0.369
12-17-0787-43,-0.605,-1.325
12-17-0782-43,2.509,0.249
12-17-0787-43,0.375,-0.147
12-17-0787-43,1.007,0.134
12-17-0782-43,-0.545,-0.918
12-17-0787-43,1.32,1.494
12-17-0787-43,1.542,
12-17-0004-43,2.038,0.775
12-17-0004-43,1.454,0.134
12-17-0787-43,-0.412,-0.783
12-17-0787-43,1.191,-0.783
12-17-0004-43,-0.285,-0.59
12-17-0787-43,0.075,-0.426
12-17-0787-43,1.132,-0.43
06-02-0004-43,0.83,0.305
06-02-0060-43,1.398,0.177
06-02-0060-43,1.454,0.505
06-02-0043-43,0.42,0.394
06-02-0004-43,0.601,-0.299
