Cod_Estab,measure_L,measure_M
07-07-0244-43,0.262,0.046
07-07-0008-43,-0.042,-0.43
07-07-0008-43,-0.087,-0.436
07-07-0008-43,0.488,-0.147
07-07-0244-43,0.488,0.0
07-07-0009-43,-0.042,0.134
07-07-0244-43,0.262,-0.226
07-07-0244-43,2.466,0.525
07-07-0009-43,1.191,0.656
07-07-0008-43,0.262,0.134
07-07-0008-43,0.305,0.657
07-07-0244-43,-0.162,0.394
07-07-0244-43,-0.087,-0.147
07-07-0008-43,-0.467,0.134
07-07-0008-43,0.649,0.134
07-07-0008-43,0.488,-0.226
07-07-0244-43,0.075,-0.369
07-07-0244-43,-0.684,0.0
07-07-0244-43,-0.209,0.261
07-07-0009-43,1.859,0.394
07-07-0244-43,-0.545,-0.286
07-07-0008-43,0.031,-1.235
07-07-0009-43,-0.911,-0.58
07-07-0008-43,0.191,-0.226
07-07-0244-43,0.147,-0.007
07-07-0244-43,0.147,-0.014
07-07-0008-43,2.238,0.656
07-07-0244-43,-0.752,-0.58
07-07-0008-43,0.147,-0.783
07-07-0244-43,0.262,0.122
07-07-0244-43,0.075,-0.279
07-07-0244-43,-0.467,-0.436
07-07-0009-43,1.007,0.893
07-07-0244-43,-0.684,0.385
07-07-0244-43,-0.412,-0.286
07-07-0009-43,0.488,-0.154
07-07-0009-43,0.601,-0.741
07-07-0009-43,0.766,-0.154
07-07-0008-43,-0.087,0.378
07-07-0008-43,0.075,0.12
07-07-0008-43,0.075,-0.299
07-07-0008-43,-0.412,0.177
07-07-0244-43,0.534,0.305
07-07-0008-43,1.746,0.394
07-07-0244-43,-0.162,-0.45
07-07-0009-43,-0.042,-1.031
07-07-0244-43,0.147,0.505
07-07-0009-43,0.375,0.128
07-07-0009-43,0.948,0.046
07-07-0244-43,0.075,-0.611
07-07-0009-43,2.283,1.204
07-07-0008-43,0.649,0.394
07-07-0009-43,0.42,0.645
07-07-0008-43,2.466,0.385
04-10-0004-43,0.031,0.525
04-10-0004-43,0.601,0.907
04-10-0456-43,1.007,-0.138
04-10-0621-43,1.542,-0.012
04-10-0004-43,-0.412,0.046
04-10-0004-43,1.454,0.79
04-10-0456-43,-0.162,0.12
04-10-0456-43,-0.545,-0.088
04-10-0456-43,0.147,0.046
04-10-0621-43,0.262,-0.007
04-10-0621-43,1.262,-0.014
04-10-0621-43,0.031,0.378
04-10-0621-43,3.52,1.062
04-10-0004-43,0.42,0.515
04-10-0004-43,0.715,0.645
04-10-0621-43,0.191,-0.154
04-10-0621-43,0.375,0.433
04-10-0621-43,1.007,0.526
04-10-0456-43,-0.911,0.775
04-10-0004-43,1.859,0.433
04-10-0004-43,0.83,0.925
04-10-0621-43,1.694,-0.146
04-10-0004-43,1.007,0.907
04-10-0621-43,2.466,0.787
04-10-0456-43,0.262,0.525
04-10-0456-43,1.398,1.322
04-10-0004-43,1.32,0.526
04-10-0456-43,2.735,1.218
04-10-0456-43,1.694,0.79
04-10-0004-43,0.766,1.964
04-10-0621-43,0.375,-0.918
04-10-0004-43,1.595,0.046
04-10-0456-43,0.534,0.79
04-10-0621-43,1.068,0.261
04-10-0456-43,0.601,0.305
04-10-0456-43,1.908,1.165
04-10-0004-43,1.859,1.204
04-10-0621-43,1.068,0.122
04-10-0004-43,-0.087,0.396
04-10-0456-43,-0.285,0.385
04-10-0456-43,1.595,1.197
04-10-0621-43,1.007,0.177
04-10-0004-43,2.038,0.12
04-10-0004-43,0.262,-0.581
04-10-0004-43,-0.087,-0.43
04-10-0456-43,-0.209,0.134
04-10-0004-43,1.694,1.197
04-10-0456-43,0.488,0.505
04-10-0621-43,1.746,0.305
04-10-0621-43,-0.545,-0.226
04-10-0004-43,0.649,-0.288
04-10-0621-43,0.83,-1.098
04-10-0456-43,0.715,0.515
04-10-0456-43,0.305,-0.426
04-10-0456-43,1.262,1.027
04-10-0004-43,0.766,-0.426
04-10-0004-43,1.32,2.02
04-10-0456-43,0.147,0.525
04-10-0621-43,-0.209,-0.279
04-10-0621-43,3.554,-0.014
13-26-1664-43,0.031,-0.45
13-26-5767-43,-0.335,-1.325
13-26-1194-43,0.191,-0.426
13-26-1194-43,-0.832,-1.176
13-26-1194-43,0.191,-1.109
13-26-1194-43,0.075,-1.561
13-26-1664-43,-0.752,-1.031
13-26-1194-43,-0.605,-0.741
13-26-1664-43,-0.545,-1.098
13-26-1194-43,-0.087,0.0
13-26-5767-43,-0.752,-0.59
13-26-1673-43,-0.087,0.261
13-26-1673-43,-0.335,-0.007
13-26-5767-43,-0.752,-0.369
13-26-1194-43,-0.042,-0.741
13-26-1194-43,-0.335,-1.737
13-26-5767-43,-0.545,-0.014
13-26-4772-43,-0.467,-0.138
13-26-1194-43,-0.042,-0.226
13-26-4772-43,-1.084,-0.783
13-26-1194-43,-0.087,-0.154
13-26-1194-43,-0.752,-1.32
13-26-1673-43,-0.285,-0.43
13-26-1664-43,0.305,-0.154
13-26-1194-43,-0.162,-1.098
13-26-1673-43,-1.276,-0.58
13-26-1194-43,0.075,-0.369
13-26-1673-43,-0.162,-1.031
13-26-1194-43,-0.605,-0.369
13-26-1664-43,0.031,-0.581
13-26-1194-43,-0.042,-1.836
13-26-5767-43,0.031,-0.299
13-26-5767-43,-0.832,-0.918
13-26-4772-43,0.305,-1.176
13-26-4772-43,0.262,0.433
13-26-4772-43,0.075,-0.088
13-26-1194-43,-0.087,-0.741
13-26-1194-43,-0.605,-2.176
13-26-1194-43,-0.209,-1.685
13-26-1673-43,-0.162,-0.426
13-26-1664-43,-0.545,-0.369
13-26-5767-43,-0.285,-0.754
13-26-5767-43,0.075,-0.912
13-26-1664-43,0.83,-0.146
13-26-5767-43,-1.359,-2.481
13-26-1194-43,-0.285,-0.154
13-26-1194-43,-0.162,-0.279
13-26-1664-43,-0.209,-1.32
13-26-5767-43,0.147,-0.912
13-26-1664-43,-0.832,-0.928
13-26-1664-43,-0.467,-0.147
13-26-1194-43,-1.276,-0.754
13-26-1664-43,0.601,-0.743
13-26-4772-43,0.031,0.261
13-26-1664-43,-0.412,-0.369
13-26-1664-43,-0.162,-0.743
13-26-4772-43,0.885,0.265
13-26-1673-43,-0.285,-0.611
13-26-5767-43,-0.684,-0.088
13-26-1673-43,-0.087,-1.176
13-26-5767-43,-0.911,-0.58
13-26-1194-43,-0.087,-1.737
13-26-4772-43,-0.684,-0.436
13-26-1664-43,-0.832,-1.117
13-26-4772-43,-1.276,-0.581
14-01-0043-43,0.031,-0.286
14-01-0043-43,-0.412,0.128
14-01-0039-43,1.262,-0.286
14-01-0063-43,-0.042,0.261
14-01-0039-43,1.746,1.35
14-01-0039-43,1.398,-0.279
14-01-0063-43,-0.335,-1.117
14-01-0039-43,2.735,1.655
14-01-0039-43,1.32,0.763
14-01-0039-43,0.948,-0.088
14-01-0039-43,0.534,0.433
14-01-0063-43,-0.412,-0.226
14-01-0043-43,0.534,0.0
14-01-0039-43,1.398,0.515
14-01-0039-43,1.454,1.322
14-01-0043-43,-0.042,0.046
14-01-0063-43,-0.752,-0.918
14-01-0063-43,0.766,-0.012
14-01-0063-43,-1.755,-0.912
14-01-0063-43,0.42,-0.436
14-01-0063-43,-0.605,0.046
14-01-0063-43,0.305,-1.176
14-01-0043-43,0.83,0.0
14-01-0039-43,1.262,1.027
14-01-0063-43,-0.467,-1.117
14-01-0043-43,2.466,0.385
14-01-0043-43,1.191,-0.154
14-01-0043-43,-0.335,-0.59
14-01-0043-43,1.454,0.657
14-01-0043-43,1.007,0.816
14-01-0063-43,0.83,0.657
14-01-0039-43,1.694,0.947
14-01-0043-43,0.715,-1.56
14-01-0063-43,-0.684,-0.969
14-01-0043-43,0.534,0.645
14-01-0063-43,0.191,0.787
14-01-0063-43,-0.684,-1.737
14-01-0039-43,2.735,0.79
14-01-0063-43,1.191,0.633
14-01-0063-43,1.191,0.645
14-01-0039-43,2.085,0.433
14-01-0039-43,1.746,0.385
14-01-0063-43,0.262,-0.286
14-01-0063-43,-0.087,0.385
14-01-0039-43,0.715,0.134
14-01-0039-43,1.746,0.128
14-01-0063-43,-0.042,0.0
14-01-0039-43,0.83,-0.847
14-01-0039-43,0.534,-0.088
14-01-0039-43,1.859,0.79
14-01-0039-43,3.105,1.057
14-01-0063-43,-0.605,-0.58
14-01-0063-43,-0.467,-0.088
14-01-0063-43,-1.755,-0.918
14-01-0043-43,0.42,0.12
14-01-0043-43,1.191,0.947
14-01-0063-43,1.694,0.688
14-01-0039-43,1.191,0.921
14-01-0043-43,-0.605,-0.286
14-01-0039-43,0.488,0.505
14-01-0039-43,1.595,0.261
14-01-0039-43,0.885,0.394
14-01-0063-43,-0.162,-1.098
14-01-0039-43,1.007,-0.581
14-01-0039-43,1.398,0.515
14-01-0039-43,2.085,0.525
14-01-0039-43,1.694,1.057
14-01-0039-43,0.83,-0.154
14-01-0039-43,2.085,0.12
14-01-0039-43,1.262,0.122
14-01-0063-43,0.649,0.122
15-06-0227-43,1.746,1.782
15-06-0227-43,1.908,2.02
15-06-0220-43,0.262,0.921
15-06-0220-43,0.601,0.046
15-06-0221-43,0.191,-0.783
15-06-0221-43,1.454,0.526
15-06-0220-43,0.715,0.925
15-06-0221-43,2.735,1.826
15-06-0220-43,0.948,0.775
15-06-0220-43,0.075,-0.286
15-06-0221-43,1.746,0.816
15-06-0220-43,-0.042,-0.138
15-06-0220-43,1.908,1.027
15-06-0227-43,0.305,-0.147
15-06-0227-43,0.375,1.204
15-06-0220-43,1.007,0.433
15-06-0220-43,0.766,1.197
15-06-0220-43,0.191,-0.146
15-06-0221-43,2.283,1.503
15-06-0227-43,0.715,0.656
15-06-0227-43,0.885,1.836
15-06-0220-43,0.262,0.177
15-06-0227-43,2.466,1.057
15-06-0227-43,-0.042,-0.369
15-06-0220-43,0.031,0.925
15-06-0227-43,1.542,1.471
15-06-0220-43,1.694,0.645
15-06-0221-43,1.262,-0.226
15-06-0220-43,2.038,0.525
15-06-0221-43,-0.412,-0.154
15-06-0220-43,-1.165,1.179
15-06-0221-43,0.488,0.265
15-06-0221-43,1.595,1.322
15-06-0221-43,0.885,1.964
15-06-0221-43,1.132,0.925
15-06-0220-43,2.735,1.668
15-06-0220-43,2.509,1.197
15-06-0220-43,1.746,0.763
15-06-0221-43,1.454,0.79
15-06-0220-43,0.147,-0.299
15-06-0221-43,1.595,1.456
07-14-0339-43,-0.162,-0.146
07-14-0340-43,-0.285,-1.41
07-14-0339-43,-0.684,0.249
07-14-0340-43,-0.991,-0.754
07-14-0340-43,-1.839,-1.536
07-14-0337-43,1.132,0.0
07-14-0337-43,-0.467,-0.519
07-14-0337-43,-0.752,-1.32
07-14-0340-43,-0.285,-0.783
07-14-0337-43,0.191,-1.536
07-14-0339-43,-0.911,-2.525
07-14-0340-43,-0.162,-1.109
07-14-0339-43,0.075,-0.288
07-14-0337-43,-0.467,-1.303
07-14-0337-43,0.534,-0.847
07-14-0339-43,-0.335,-0.154
07-14-0337-43,1.32,-0.58
07-14-0340-43,0.031,-1.809
07-14-0337-43,0.191,-0.754
07-14-0337-43,-1.084,-1.303
07-14-0337-43,0.885,-0.088
07-14-0339-43,-2.518,-0.436
07-14-0337-43,0.191,-0.288
07-14-0340-43,-0.752,-1.117
07-14-0339-43,-0.605,0.656
07-14-0339-43,-1.359,-0.279
07-14-0337-43,-0.285,-0.918
07-14-0340-43,-0.087,-1.235
07-14-0337-43,0.601,-1.41
07-14-0337-43,-0.545,-3.264
07-14-0337-43,0.262,-0.969
07-14-0339-43,-0.042,0.254
07-14-0337-43,-0.209,-1.466
07-14-0340-43,0.031,-0.969
07-14-0337-43,-0.087,-1.561
07-14-0337-43,1.068,-0.741
07-14-0340-43,0.262,-1.325
07-14-0339-43,-0.162,0.046
07-14-0339-43,-1.359,-2.481
07-14-0340-43,-0.285,-1.737
07-14-0340-43,-0.467,-1.842
07-14-0337-43,0.601,-0.918
07-14-0339-43,-0.335,-0.43
07-14-0339-43,0.488,-0.286
07-14-0337-43,-0.991,-0.154
07-14-0337-43,0.147,-0.288
07-14-0339-43,-0.467,0.305
07-14-0337-43,-0.991,-0.147
07-14-0339-43,-0.209,-0.279
07-14-0337-43,0.766,-0.611
11-03-0100-43,1.068,0.378
11-03-0852-43,-0.285,-2.176
11-03-0104-43,1.454,0.907
11-03-0100-43,0.715,1.204
11-03-0100-43,0.375,0.254
11-03-0852-43,0.147,0.925
11-03-0852-43,1.542,0.633
11-03-0852-43,0.075,0.134
11-03-0100-43,-0.605,-0.519
11-03-0852-43,-0.684,-1.32
11-03-0100-43,-0.042,0.775
11-03-0100-43,0.191,-0.43
11-03-0100-43,-0.162,-0.58
11-03-0852-43,0.601,0.56
11-03-0852-43,-4.471,-2.024
11-03-0104-43,0.147,-0.007
11-03-0100-43,1.262,0.515
11-03-0104-43,1.694,-0.012
11-03-0100-43,0.031,0.921
11-03-0104-43,1.542,0.249
11-03-0100-43,0.488,-0.581
11-03-0100-43,0.262,0.134
11-03-0852-43,-0.209,0.305
11-03-0104-43,-0.545,-1.561
11-03-0100-43,1.262,0.433
11-03-0104-43,2.085,0.787
11-03-0852-43,1.132,-0.147
11-03-0852-43,0.031,0.79
11-03-0104-43,2.775,0.433
11-03-0104-43,0.885,1.322
11-03-0100-43,0.42,-0.007
11-03-0852-43,0.534,0.645
11-03-0100-43,-0.162,-0.226
06-12-0007-43,2.509,0.79
06-12-0351-43,-0.162,-0.088
06-12-0351-43,1.068,1.204
06-12-0007-43,0.375,0.79
06-12-0351-43,0.885,0.122
06-12-0007-43,1.262,0.134
06-12-0351-43,1.007,0.787
06-12-0007-43,0.715,-0.088
06-12-0007-43,2.735,1.668
06-12-0351-43,1.542,1.35
06-12-0007-43,1.068,-1.109
06-12-0007-43,1.262,1.027
06-12-0351-43,1.398,0.525
06-12-0006-43,1.694,0.775
06-12-0007-43,1.595,0.378
06-12-0007-43,0.191,0.657
06-12-0351-43,0.83,0.385
06-12-0351-43,0.601,0.633
06-12-0007-43,0.948,0.645
06-12-0007-43,0.075,-0.014
06-12-0351-43,0.649,-0.43
06-12-0006-43,0.601,0.249
06-12-0351-43,0.715,0.56
06-12-0006-43,1.068,1.664
06-12-0006-43,0.715,-0.138
06-12-0351-43,1.908,0.505
06-12-0006-43,-0.545,-0.369
06-12-0351-43,0.715,0.396
16-02-2818-43,1.859,0.893
16-02-0163-43,0.075,-4.614
16-02-0166-43,0.601,0.378
16-02-2818-43,0.766,0.79
16-02-0163-43,0.031,-1.109
16-02-0166-43,-0.209,-0.519
16-02-0166-43,1.859,1.322
16-02-2818-43,1.542,0.775
16-02-2818-43,-0.412,0.0
16-02-0163-43,-0.467,-1.466
16-02-2818-43,1.595,1.057
16-02-2818-43,0.191,0.177
16-02-2818-43,0.42,-0.012
16-02-0163-43,-0.285,-0.783
16-02-0166-43,0.649,1.081
16-02-0163-43,-0.162,-2.191
16-02-0166-43,1.908,0.396
16-02-2818-43,0.488,0.688
16-02-0166-43,0.191,-0.426
16-02-2818-43,2.085,0.254
16-02-0166-43,0.534,-0.286
16-02-0163-43,-0.605,-0.288
16-02-0163-43,-0.467,-2.191
16-02-2818-43,2.509,2.013
16-02-0166-43,0.031,0.525
16-02-0166-43,-0.209,-0.45
16-02-0166-43,0.649,0.394
16-02-2818-43,1.32,0.261
16-02-0166-43,0.305,0.656
16-02-0166-43,-1.165,0.128
16-02-2818-43,0.885,0.525
16-02-2818-43,-0.335,-1.303
16-02-2818-43,0.715,0.378
16-02-0166-43,0.601,-0.286
16-02-0166-43,1.132,0.385
16-02-0166-43,0.715,0.947
16-02-0166-43,0.715,1.057
16-02-2818-43,-0.335,0.394
16-02-2818-43,0.42,0.122
16-02-0163-43,-1.084,-1.235
16-02-2818-43,3.554,2.182
16-02-2818-43,-0.991,-0.426
16-02-0163-43,-0.412,-0.426
16-02-0163-43,-0.042,-0.741
16-02-0163-43,-0.752,-0.754
16-02-2818-43,1.908,0.688
16-02-0166-43,1.454,-0.146
16-02-0166-43,0.601,0.515
16-02-0166-43,-0.285,-0.286
16-02-0163-43,-0.684,-0.088
16-02-0166-43,0.715,0.261
16-02-0166-43,1.542,0.645
16-02-0163-43,-0.335,-2.024
16-02-0163-43,-0.605,-1.536
16-02-0163-43,-0.285,-1.685
16-02-0163-43,0.075,-1.325
16-02-0163-43,-0.991,0.046
16-02-0163-43,0.031,-0.581
16-02-0166-43,1.398,0.305
16-02-2818-43,0.534,-0.154
16-02-0163-43,-0.752,-3.226
16-02-2818-43,1.542,1.51
16-02-0166-43,-4.471,-4.673
13-17-0020-43,0.075,-0.014
13-17-0844-43,0.42,-0.611
13-17-0844-43,0.075,-0.918
13-17-0844-43,-0.752,-0.918
13-17-0020-43,-0.752,-1.109
13-17-0844-43,-0.752,-0.928
13-17-0844-43,-0.042,-0.969
13-17-0830-43,0.262,-0.088
13-17-0844-43,-0.605,-1.176
13-17-0844-43,-0.209,-0.677
13-17-0844-43,-0.605,-1.098
13-17-0020-43,0.147,0.177
13-17-0844-43,-0.162,-1.466
13-17-0844-43,0.601,0.265
13-17-0020-43,-0.209,-2.072
13-17-0830-43,-0.911,-0.138
13-17-0020-43,0.42,-0.847
13-17-0020-43,0.075,-0.918
13-17-0830-43,-0.335,-0.146
13-17-0844-43,-0.752,-1.031
13-17-0830-43,-0.335,-0.299
13-17-0844-43,-2.078,-3.226
13-17-0844-43,0.191,-1.176
13-17-0844-43,-0.042,-3.376
13-17-0020-43,-0.605,-1.098
13-17-0844-43,0.075,-2.072
13-17-0844-43,-0.042,-0.581
13-17-0844-43,-0.412,-0.928
13-17-0020-43,-0.467,-0.969
13-17-0844-43,0.075,-1.117
13-17-0844-43,-1.276,-1.176
13-17-0020-43,0.305,-2.66
13-17-0830-43,-0.832,-0.369
13-17-0830-43,-0.832,-0.436
13-17-0830-43,-0.684,-0.147
13-17-0830-43,-0.335,-0.226
13-17-0020-43,1.262,0.525
13-17-0020-43,-1.579,-2.176
13-17-0830-43,-0.467,-0.912
13-17-0844-43,-0.752,-1.466
13-17-0844-43,-0.412,-0.088
13-17-0020-43,-0.335,-2.024
13-17-0020-43,-0.087,-1.561
13-17-0844-43,-0.042,-0.918
13-17-0844-43,-0.285,-0.59
13-17-0844-43,-0.162,-1.737
13-17-0020-43,-0.605,-3.376
13-17-0020-43,-1.359,-1.235
13-17-0844-43,-0.752,-0.426
13-17-0844-43,-0.752,-2.481
13-17-0830-43,-1.755,-0.43
13-17-0844-43,0.075,-0.741
13-17-0020-43,0.031,-1.56
13-17-0020-43,0.305,-1.536
13-17-0844-43,-0.752,-3.342
13-17-0844-43,-0.335,-0.43
13-17-0844-43,-0.042,-0.286
13-17-0844-43,-0.605,-0.519
13-17-0844-43,0.191,-1.303
13-17-0020-43,-0.911,-2.601
13-17-0020-43,-0.285,-1.176
13-17-0844-43,-0.467,-1.56
13-17-0844-43,-0.162,0.265
13-17-0844-43,-0.042,-0.611
13-17-0844-43,-0.335,-0.928
13-17-0830-43,-0.911,-0.014
13-17-0830-43,-0.545,-1.117
13-17-0844-43,-0.209,-0.912
13-17-0830-43,-0.285,-1.176
13-17-0830-43,-0.285,-0.918
13-17-0844-43,-0.412,-1.109
13-17-0844-43,-0.752,-0.928
13-17-0830-43,-0.285,-0.58
13-17-0844-43,-0.467,0.128
05-02-0176-43,-0.335,-1.235
05-02-0166-43,1.398,0.261
05-02-0166-43,0.601,-0.436
05-02-0203-43,-0.545,-0.426
05-02-0166-43,1.398,0.254
05-02-0166-43,0.147,-0.279
05-02-0176-43,0.262,0.396
05-02-0203-43,1.859,0.925
05-02-0166-43,0.885,-0.286
05-02-0203-43,0.601,-0.58
05-02-0176-43,1.746,1.057
05-02-0166-43,0.601,0.505
05-02-0203-43,0.488,-1.235
05-02-0203-43,0.488,-0.369
05-02-0166-43,0.534,0.12
05-02-0166-43,0.534,0.816
05-02-0176-43,-0.467,0.122
05-02-0176-43,1.859,-0.43
05-02-0166-43,2.038,1.057
05-02-0203-43,0.031,-0.436
05-02-0203-43,1.542,-0.279
05-02-0176-43,1.542,0.378
05-02-0203-43,1.262,-0.007
05-02-0166-43,0.534,0.526
05-02-0166-43,1.398,2.02
05-02-0176-43,2.466,1.655
05-02-0203-43,-0.467,-0.969
05-02-0166-43,3.105,1.218
05-02-0166-43,0.031,-0.226
05-02-0203-43,0.488,-0.147
05-02-0176-43,0.262,-0.436
05-02-0176-43,0.948,0.925
05-02-0203-43,-0.042,0.177
05-02-0166-43,1.746,0.925
05-02-0166-43,2.775,1.179
05-02-0176-43,1.859,0.79
05-02-0203-43,-0.209,-1.098
05-02-0166-43,1.32,0.396
05-02-0176-43,0.147,-0.007
05-02-0176-43,-0.285,-0.299
05-02-0166-43,2.283,2.013
05-02-0203-43,0.191,0.12
05-02-0176-43,-0.991,-0.677
05-02-0166-43,2.038,0.56
05-02-0166-43,0.075,-0.014
05-02-0176-43,0.948,-0.286
05-02-0203-43,-0.412,-0.012
05-02-0176-43,-0.285,0.261
05-02-0166-43,0.885,0.657
05-02-0166-43,1.398,1.179
05-02-0203-43,1.694,1.307
05-02-0166-43,2.238,-0.012
05-02-0203-43,0.075,-0.299
05-02-0166-43,0.488,0.378
05-02-0176-43,2.735,1.98
05-02-0203-43,2.085,0.515
05-02-0176-43,-0.162,0.265
05-02-0203-43,0.075,-0.436
05-02-0176-43,0.948,-0.519
05-02-0176-43,-0.209,0.122
05-02-0203-43,1.398,0.177
05-02-0203-43,0.601,0.433
05-02-0166-43,1.191,0.633
05-02-0203-43,-0.162,-0.014
05-02-0166-43,1.191,0.525
05-02-0203-43,2.466,0.265
05-02-0203-43,-0.752,0.79
05-02-0176-43,0.83,0.249
05-02-0203-43,0.262,0.775
05-02-0166-43,0.601,0.122
05-02-0176-43,3.068,1.629
05-02-0203-43,1.908,-0.138
05-02-0176-43,0.766,0.305
08-07-0378-43,-0.087,-0.918
08-07-0373-43,-0.467,0.046
08-07-0378-43,-1.084,-0.754
08-07-0378-43,-0.162,-0.677
08-07-0373-43,-0.467,0.249
08-07-0373-43,-0.162,-0.754
08-07-0373-43,-0.545,-0.58
08-07-0373-43,-0.162,0.0
08-07-0373-43,-0.991,-0.754
08-07-0379-43,-0.335,-0.519
08-07-0373-43,-0.285,-1.536
08-07-0378-43,-0.545,-1.561
08-07-0378-43,-0.545,-0.611
08-07-0373-43,-0.412,1.081
08-07-0378-43,-0.412,-0.369
08-07-0373-43,-0.335,-0.279
08-07-0373-43,-0.335,0.046
08-07-0373-43,-0.087,-1.41
08-07-0373-43,0.075,0.265
08-07-0378-43,-0.545,0.134
08-07-0378-43,-0.412,-0.743
08-07-0379-43,-0.832,-0.299
08-07-0373-43,0.031,-0.146
08-07-0378-43,0.031,-0.007
08-07-0373-43,-0.335,-0.154
08-07-0379-43,-0.467,-0.928
08-07-0378-43,-0.042,-0.59
08-07-0373-43,0.488,-0.299
08-07-0378-43,0.601,0.177
08-07-0378-43,-0.209,-0.918
08-07-0378-43,-0.335,0.385
08-07-0378-43,-0.209,-1.098
08-07-0379-43,-0.209,-0.45
08-07-0378-43,-0.467,-0.286
08-07-0378-43,-0.335,-0.147
08-07-0378-43,0.83,0.177
08-07-0378-43,-0.042,-0.088
08-07-0379-43,-0.285,-0.928
08-07-0378-43,0.031,-0.299
08-07-0378-43,-0.042,-0.154
08-07-0379-43,-0.752,-0.918
08-07-0379-43,-0.209,-0.147
08-07-0379-43,-0.162,-0.847
08-07-0379-43,-0.684,-0.288
08-07-0378-43,-0.605,0.134
08-07-0379-43,-0.335,-0.43
08-07-0378-43,-0.042,0.122
08-07-0378-43,-0.042,-0.58
08-07-0378-43,-0.162,-0.288
08-07-0378-43,-0.087,-0.969
08-07-0379-43,-1.165,-0.783
08-07-0379-43,-0.752,0.134
08-07-0379-43,-0.285,-0.741
08-07-0379-43,-0.752,-1.325
08-07-0378-43,-0.209,-0.59
08-07-0379-43,-0.042,-0.369
08-07-0378-43,-1.084,-0.226
08-07-0378-43,0.885,-0.012
08-07-0378-43,-0.412,-0.286
08-07-0379-43,-1.579,-0.743
08-07-0373-43,-0.335,-1.466
08-07-0373-43,-1.359,-0.783
08-07-0373-43,-0.285,-1.117
08-07-0373-43,-0.162,0.12
08-07-0373-43,0.375,-0.918
08-07-0373-43,0.305,-1.466
08-07-0373-43,-0.335,0.394
08-07-0378-43,-0.162,0.12
08-07-0373-43,-0.467,-0.912
08-07-0373-43,-0.545,0.515
03-09-0160-43,1.191,0.763
03-09-0160-43,5.524,1.081
03-09-0159-43,1.398,-1.031
03-09-0158-43,0.601,0.254
03-09-0159-43,1.068,-0.226
03-09-0160-43,0.031,-0.58
03-09-0158-43,0.031,0.893
03-09-0160-43,0.488,-0.146
03-09-0158-43,0.885,0.925
03-09-0160-43,0.885,0.633
03-09-0158-43,-0.042,0.122
03-09-0159-43,1.595,0.787
03-09-0160-43,1.32,0.688
03-09-0159-43,0.601,-1.117
03-09-0159-43,0.534,-0.299
03-09-0159-43,-0.162,-0.288
03-09-0159-43,0.075,-0.436
03-09-0158-43,0.715,-0.138
03-09-0158-43,1.595,0.925
03-09-0159-43,0.766,-0.012
03-09-0158-43,-0.832,-1.235
03-09-0160-43,0.42,-0.369
03-09-0160-43,2.735,1.204
03-09-0159-43,0.948,0.525
03-09-0158-43,2.238,0.396
03-09-0159-43,1.191,0.56
03-09-0158-43,2.038,0.526
03-09-0158-43,1.595,0.265
03-09-0158-43,0.147,-0.58
03-09-0159-43,1.859,-0.677
03-09-0159-43,1.132,0.921
03-09-0158-43,0.305,-0.286
03-09-0158-43,-0.412,-0.519
03-09-0158-43,1.068,0.305
03-09-0160-43,2.735,-0.154
03-09-0160-43,1.542,0.0
03-09-0159-43,-0.752,-0.741
03-09-0159-43,1.191,0.515
03-09-0160-43,0.649,0.122
03-09-0160-43,2.238,0.505
03-09-0160-43,0.83,0.122
03-09-0158-43,1.542,0.657
03-09-0160-43,0.488,0.394
03-09-0160-43,2.038,0.526
03-09-0158-43,-0.684,0.775
03-09-0159-43,0.147,0.907
03-09-0158-43,0.031,0.305
03-09-0158-43,0.534,-0.012
03-09-0158-43,2.283,1.307
03-09-0159-43,2.775,0.378
03-09-0159-43,1.32,0.265
03-09-0158-43,0.375,-0.912
03-09-0158-43,0.488,-0.007
03-09-0158-43,-0.042,-0.369
03-09-0159-43,1.262,0.265
03-09-0159-43,0.534,1.041
03-09-0158-43,5.524,0.907
07-04-0085-43,-0.285,-0.138
07-04-0080-43,0.488,0.134
07-04-0085-43,-0.684,-1.117
07-04-0085-43,-0.467,-0.426
07-04-0085-43,-1.496,-0.59
07-04-2226-43,0.147,1.057
07-04-0085-43,-0.335,-0.45
07-04-0085-43,-0.209,0.261
07-04-0085-43,0.305,-0.014
07-04-2226-43,3.068,1.668
07-04-0085-43,0.262,0.12
07-04-0085-43,0.075,0.046
07-04-0080-43,0.83,-0.288
07-04-0080-43,-0.285,-0.677
07-04-2226-43,1.132,0.907
07-04-0085-43,0.191,0.385
07-04-0080-43,-0.209,-0.147
07-04-0080-43,1.454,0.046
07-04-0085-43,-1.165,-0.012
07-04-0085-43,-0.209,-0.369
07-04-0085-43,1.595,0.893
07-04-0085-43,-0.042,-1.561
07-04-0080-43,1.191,-0.58
07-04-0080-43,-0.285,-0.138
07-04-2226-43,1.068,0.763
07-04-0085-43,-0.285,0.046
07-04-0080-43,2.735,0.763
07-04-0080-43,0.534,0.122
07-04-0080-43,0.534,-0.007
07-04-0080-43,0.601,0.385
07-04-0080-43,1.007,-0.611
07-04-0080-43,1.007,0.177
07-04-0085-43,-0.335,0.396
07-04-2226-43,0.715,-1.117
07-04-0080-43,1.908,-0.754
16-12-6421-43,-1.359,-1.117
16-12-6421-43,-0.752,-1.685
16-12-0913-43,0.191,-0.299
16-12-0045-43,-0.335,-4.465
