,Cod_Estab,measure_L,measure_M,Cod_Personal,LastGrade,G4,G5,G6,G7,G8,G9,measure_L_std,measure_M_std,studentPerformace
15723,22-03-1478-43,-3.245,-0.928,C296TMF,3,0,0,0,0,0,0,-1.9052992292220376,-1.0365294984595494,2.37824161502929
15724,22-03-0191-43,0.375,0.12,C422EGF,9,1,1,1,1,1,1,0.5665837079038403,0.14666545896875258,-0.2066031508090727
15725,22-03-0179-43,0.031,-0.783,C422RGS,3,0,0,0,0,0,0,0.033265207941308064,-0.7975900854477963,0.8380991081329447
15726,22-03-0191-43,1.542,0.657,C428WUB,9,1,1,1,1,1,1,2.329792206900591,0.8029933878539204,-1.9177438419532278
15727,22-03-0179-43,0.948,-0.519,C460VZN,9,1,1,1,1,1,1,1.0172715202696787,-0.5286708229213363,-0.04802755441090201
15728,22-03-0191-43,-0.335,0.525,C519SCC,7,1,1,1,1,0,0,-0.5061481123940973,0.6416613829882926,0.20230046025712922
15729,22-03-0191-43,1.542,0.385,C520XCR,3,0,0,0,0,0,0,2.329792206900591,0.4705516808580812,-1.682753216023316
15730,22-03-0191-43,0.42,0.433,C572YDM,8,1,1,1,1,1,0,0.6345737528523011,0.5292178644455823,-0.5251079724610362
15731,22-03-0191-43,1.068,0.433,C585GUB,4,1,0,0,0,0,0,1.6136304001101371,0.5292178644455823,-1.217644502810718
15732,22-03-0191-43,0.885,0.265,C621LQP,5,1,1,0,0,0,0,1.337137550653063,0.32388622188932864,-0.8769257877830328
15733,22-03-1478-43,2.283,0.433,C646TVV,9,1,1,1,1,1,1,1.3404616765220068,0.4836393026217509,-0.9922005969389316
15734,22-03-0191-43,0.031,-0.436,C648DHY,6,1,1,1,0,0,0,0.046837586520050795,-0.532884500919801,0.641388183992551
15735,22-03-1478-43,0.534,-0.014,C721XVH,9,1,1,1,1,1,1,0.3135376851786034,-0.015637298468139754,0.08711492015397249
15736,22-03-0191-43,-0.412,-0.519,C757QNW,8,1,1,1,1,1,0,-0.6224866337503524,-0.6343281100398549,1.1865419239278134
15737,22-03-0191-43,-0.087,0.122,C822WFW,9,1,1,1,1,1,1,-0.13144742023369094,0.14910988328489846,0.2854218735796415
15738,22-03-1478-43,-0.467,-2.481,C856YFW,7,1,1,1,1,0,0,-0.2741986872254828,-2.7711526785324803,2.4506216332443067
15739,22-03-0179-43,2.466,0.787,C860EWM,5,1,1,0,0,0,0,2.6461936381698608,0.8016646197285002,-2.140611399865496
15740,22-03-0179-43,0.305,-1.836,C893BNG,9,1,1,1,1,1,1,0.32728672329351477,-1.8702112348431086,1.3883185736765258
15741,22-03-0191-43,1.262,1.057,C917HSZ,9,1,1,1,1,1,1,1.9067430383323904,1.2918782510830955,-1.9640741120694303
15742,22-03-1478-43,0.147,-0.426,C919NZX,5,1,1,0,0,0,0,0.08631093580759307,-0.47582065338768104,0.5731303752023124
15743,22-03-0191-43,0.075,0.907,C921NYP,5,1,1,0,0,0,0,0.11331674158076804,1.108546427372155,-0.5659021169305019
15744,22-03-0179-43,0.601,-0.43,C983ELC,9,1,1,1,1,1,1,0.6449158055718112,-0.43801243517567356,0.15127554059374634
15745,22-03-0191-43,0.031,0.688,D098QIX,8,1,1,1,1,1,0,0.046837586520050795,0.8408819647541814,-0.3296760202178189
15746,22-03-0191-43,0.262,-0.007,D127ZUB,4,1,0,0,0,0,0,0.3958531505888164,-0.008555485106510568,0.023883138158995405
15747,22-03-0191-43,-0.087,-0.369,D269PAZ,6,1,1,1,0,0,0,-0.13144742023369094,-0.4509962863289142,0.7096145108281217
15748,22-03-1478-43,1.132,0.526,D280UMM,9,1,1,1,1,1,1,0.6646529206407847,0.5875156424458221,-0.5875930185475404
15749,22-03-0191-43,1.542,1.027,D387ZLL,9,1,1,1,1,1,1,2.329792206900591,1.2552118863409074,-2.237400208107887
15750,22-03-0191-43,-0.684,-1.41,D396IKH,4,1,0,0,0,0,0,-1.0334486832166048,-1.7233191428828427,2.2470033571459282
15751,22-03-0191-43,-0.162,0.505,D460FLA,4,1,0,0,0,0,0,-0.244764161814459,0.6172171398268338,0.03468902881602681
