,Cod_Estab,measure_L,measure_M,Cod_Personal,LastGrade,G4,G5,G6,G7,G8,G9,measure_L_std,measure_M_std,studentPerformace,LastGrade_aux,y_pred,PrecisionLastGrade_4,RecallLastGrade_4,F1LastGrade_4,predLastGrade_4,PrecisionLastGrade_5,RecallLastGrade_5,F1LastGrade_5,predLastGrade_5,PrecisionLastGrade_6,RecallLastGrade_6,F1LastGrade_6,predLastGrade_6,PrecisionLastGrade_7,RecallLastGrade_7,F1LastGrade_7,predLastGrade_7,PrecisionLastGrade_8,RecallLastGrade_8,F1LastGrade_8,predLastGrade_8,PrecisionLastGrade_9,RecallLastGrade_9,F1LastGrade_9,predLastGrade_9
39,09-13-3878-43,0.948,0.526,E780RIE,3,0,0,0,0,0,0,1.4080605357281792,0.908858227220753,-1.3278535476849318,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,1,0.59,0.24,0.35,0,0.54,0.14,0.22,0
40,09-17-0443-43,-0.209,0.657,C617YFT,3,0,0,0,0,0,0,-0.32850721622344947,1.1842391631017044,-0.3225169086072075,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,1,0.59,0.24,0.35,0,0.54,0.14,0.22,0
41,01-14-1896-43,0.075,-0.743,C591FPH,3,0,0,0,0,0,0,0.10794400268817425,-0.9602152326217079,0.9205063013609717,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
42,09-17-0443-43,0.601,-1.176,C648TKJ,3,0,0,0,0,0,0,0.9446547222502064,-2.1197340271044203,1.1761894235822141,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
43,12-02-0091-43,1.746,1.456,C298TRC,3,0,0,0,0,0,0,2.367042259697222,2.6958646370909127,-3.280585720654834,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,1,0.59,0.24,0.35,1,0.54,0.14,0.22,0
44,12-02-0079-43,0.715,-0.088,C412UWY,3,0,0,0,0,0,0,0.7648153776163633,-0.11326027182524571,-0.14527356884775822,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
45,12-29-1023-43,-0.605,-0.369,C311RHZ,3,0,0,0,0,0,0,-1.0163307985468417,-0.5709523705239739,1.4193147273504811,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
46,13-19-0014-43,-1.165,-0.369,C182KFN,3,0,0,0,0,0,0,-1.731925388335876,-0.6491588807697037,1.9717406317662531,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
47,13-19-0931-43,-0.412,-3.42,C325RUY,3,0,0,0,0,0,0,-1.1717214358035053,-3.7034636008837745,3.7847351082951004,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
48,06-11-0345-43,1.398,0.921,E470WUI,3,0,0,0,0,0,0,1.992310081853438,0.6264245443336413,-1.529304299229421,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
49,13-08-0485-43,-0.991,-0.014,C324YHR,3,0,0,0,0,0,0,-1.972295584672915,-0.02290562229227613,1.687007700922642,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
50,13-19-0014-43,-0.545,-0.928,C819HNE,3,0,0,0,0,0,0,-0.810214022869573,-1.6325730118002308,2.041575855550871,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,0,0.75,0.68,0.71,0,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
51,13-19-0014-43,0.031,-0.918,C819VMX,3,0,0,0,0,0,0,0.046085568273315156,-1.6149806302075558,1.4352978686262863,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
52,13-01-0025-43,1.132,-0.088,C125PCU,3,0,0,0,0,0,0,1.19137048127323,-0.15382290316918665,-0.41173261145302165,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
53,03-08-0144-43,-0.285,-0.154,C058RZS,3,0,0,0,0,0,0,-0.25408323535868405,-0.2646586359184539,0.6701585543371522,0,0,0.9,0.87,0.88,1,0.8,0.75,0.77,1,0.75,0.68,0.71,1,0.64,0.36,0.46,0,0.59,0.24,0.35,0,0.54,0.14,0.22,0
